Project,base 2020,BAU 2040,DEC 2040
Laos - Myanmar,0.06,0.05,0.05
Vietnam - Laos,5.44,6.8,3.64
Thailand - Laos,16.8,18.5,17.87
Thailand - Myanmar,1.89,1.72,1.69
Cambodia - Laos,2.2,2.61,4.08
Cambodia - Thailand,1.54,11.5,19.02
Cambodia - Vietnam,3.27,15.3,24.56
Sabah (M) - Philippines,3.91,4.82,4.82
Malay Peninsular (M) - Thailand,6.08,6.98,10.97
Sarawak (M) - Brunei,0.75,1.15,0.75
Sarawak (M) - Malay Peninsular (M),3.08,4.82,4.82
Sarawak (M) - Sabah (M),0.56,6.15,4.37
Singapore - Malay Peninsular (M),6.91,6.73,6.96
Kalimantan (I) - Sabah (M),0.03,1.44,1.11
Kalimantan (I) - Sarawak (M),0.25,1.14,0.95
Sumatra (I) - Malay Peninsular (M),3.05,4.82,4.82
Sumatra (I) - Singapore,0.36,2.36,1.93
Java-Bali (I) - Kalimantan (I),0.35,4.76,4.79
Java-Bali (I) - Sumatra (I),2.74,4.82,4.82
