Project,BAU,SE,DEC,APG,PDP,APG,RE
,2025,2025,2025,2022,2025,2025,2025
Laos - Myanmar,0.06,0.06,0.06,,0.3,0.31,0.76
Vietnam - Laos,5.86,5.83,5.86,0.57,0.57,0.31,1.34
Thailand - Laos,71.05,71.12,72.48,0.7,0.9,0.7,5.3
Thailand - Myanmar,5.12,5.12,5.11,,,0.92,0.95
Cambodia - Laos,2.55,2.59,3.06,0.2,0.3,0.31,0.3
Cambodia - Thailand,4.68,4.52,4.79,0.23,0.2,0.35,7.95
Cambodia - Vietnam,6.67,6.87,7.81,0.2,0.2,0.33,7.87
Sabah (M) - Philippines,4.82,4.82,4.82,,,0.15,0.64
Malay Peninsular (M) - Thailand,6.75,6.75,6.75,0.3,0.3,0.3,9.94
Sarawak (M) - Brunei,1.17,1.29,1.3,,0.1,0.06,0.54
Sarawak (M) - Malay Peninsular (M),4.82,4.82,4.82,,,0.06,
Sarawak (M) - Sabah (M),2.16,2.35,3.16,0.05,0.1,0.16,0.98
Singapore - Malay Peninsular (M),11.2,10.13,9.68,0.53,1.05,1.05,1.71
Kalimantan (I) - Sabah (M),0.29,0.27,0.24,,,0.16,1.13
Kalimantan (I) - Sarawak (M),8,8,8,0.23,0.23,0.23,0.23
Sumatra (I) - Malay Peninsular (M),4.82,4.82,4.82,,,1.07,10
Sumatra (I) - Singapore,4.82,4.82,4.82,,,0.84,8.6
Java-Bali (I) - Kalimantan (I),4.82,4.82,4.82,,,0.01,0.48
Java-Bali (I) - Sumatra (I),4.82,4.82,4.82,,,7.94,7.96
,,,,,,,
,154.48,153.82,157.22,3.01,4.25,15.26,66.68
